id,ACS11_5yr_B08101009,ACS11_5yr_B08101001,ACS11_5yr_B08101025,ACS11_5yr_B08101001
g48209010901,3474,4250,13,4250
g48209010809,2092,2471,0,2471
g48209010909,1590,2098,0,2098
g48209010906,3545,4718,0,4718
g48209010303,2484,3092,210,3092
g48209010908,2175,3286,0,3286
g48209010805,2125,2589,0,2589
g48209010808,2300,2936,0,2936
g48209010806,1185,1918,0,1918
g48209010807,769,1017,0,1017
g48209010803,1065,1662,0,1662
g48209010907,3082,4724,29,4724
g48209010910,3012,3728,34,3728
g48209010905,2213,2722,20,2722
g48209010304,2199,2720,99,2720
g48209010702,1052,1277,0,1277
g48209010804,3218,4363,0,4363
g48209010701,2708,3430,105,3430
g48209010200,711,1498,17,1498
g48209010100,806,1162,0,1162
g48209010600,3871,4506,0,4506
g48209010500,1053,1520,47,1520
g48209010400,3078,3613,118,3613
g48209010302,1422,1843,14,1843
g48209010902,4049,4941,0,4941
g48453001857,1999,2571,0,2571
g48453001862,1974,2635,38,2635
g48453001855,5144,6223,20,6223
g48453001859,463,573,0,573
g48453001858,5754,7459,29,7459
g48453001779,2075,2787,0,2787
g48453001776,1117,1529,15,1529
g48453002425,1539,1766,0,1766
g48453001915,489,723,0,723
g48453001778,1319,1691,0,1691
g48453001777,2582,3196,15,3196
g48453001770,3965,5087,0,5087
g48453001775,1613,2030,0,2030
g48453001772,1129,1669,0,1669
g48453002428,2332,2943,0,2943
g48453001864,1505,1725,28,1725
g48453001846,1146,1400,0,1400
g48453001785,2724,2926,13,2926
g48453001781,794,1000,0,1000
g48453001780,1565,1987,0,1987
g48453001784,1735,2257,0,2257
g48453001757,840,995,37,995
g48453001919,1401,1793,0,1793
g48453001918,636,974,0,974
g48453002318,2185,3148,410,3148
g48453000307,811,1099,34,1099
g48453000205,1305,2225,436,2225
g48453000305,1502,2169,165,2169
g48453000206,1407,1700,108,1700
g48453001783,2109,2737,0,2737
g48453001916,1098,1347,0,1347
g48453001917,1862,2255,0,2255
g48453001402,1236,1841,92,1841
g48453001308,942,1722,178,1722
g48453001307,1428,2156,117,2156
g48453001786,2787,3459,89,3459
g48453002500,2503,3084,75,3084
g48453001782,1990,2530,0,2530
g48453002426,2449,3274,76,3274
g48453002211,663,792,0,792
g48453000306,863,1091,63,1091
g48453001771,1323,1720,0,1720
g48453001773,1747,2191,0,2191
g48453001863,1789,2193,61,2193
g48453001861,1910,2439,1,2439
g48453001860,1434,1858,0,1858
g48453001856,1597,2418,119,2418
g48453002435,1725,2219,0,2219
g48453002319,0,0,0,0
g48453000304,1477,2136,212,2136
g48453002317,1184,2612,664,2612
g48453001774,3535,4487,0,4487
g48453002430,1232,1529,20,1529
g48453002427,1663,3108,248,3108
g48453002429,403,410,0,410
g48453002431,2619,3541,74,3541
g48453002433,1440,2721,0,2721
g48453002208,1771,2218,29,2218
g48453002432,512,796,1,796
g48453002434,520,676,0,676
g48453002436,760,859,0,859
g48453001914,2781,3387,8,3387
g48453002209,2563,3002,0,3002
g48453002212,342,375,0,375
g48453002207,2882,4084,105,4084
g48453002210,871,1375,0,1375
g48453001854,1575,2033,0,2033
g48453002411,1461,2660,207,2660
g48453002410,1602,2173,68,2173
g48453002409,1465,1979,74,1979
g48453002403,1221,1715,42,1715
g48453002402,2600,3815,211,3815
g48453002312,1852,2712,124,2712
g48453002308,1612,2789,407,2789
g48453002307,1755,3123,320,3123
g48453002315,967,1971,264,1971
g48453002424,1153,1654,170,1654
g48453002316,1579,3082,461,3082
g48453002304,932,2407,283,2407
g48453001747,2005,2691,71,2691
g48453002113,1063,1654,140,1654
g48453002112,1444,2544,184,2544
g48453002110,1080,1614,159,1614
g48453002109,1009,1443,70,1443
g48453002108,1156,1680,123,1680
g48453002107,1297,1686,120,1686
g48453002106,1141,1613,72,1613
g48453002105,1336,2204,236,2204
g48453002104,1090,1569,154,1569
g48453002003,1241,1899,135,1899
g48453002002,1461,1909,77,1909
g48453002005,1724,2773,267,2773
g48453002313,1941,2868,189,2868
g48453001911,1981,2267,10,2267
g48453001901,3019,3850,78,3850
g48453001835,2141,2646,0,2646
g48453001832,1154,1633,30,1633
g48453001829,1660,2036,20,2036
g48453001828,1950,2276,3,2276
g48453001849,2806,3798,174,3798
g48453001826,921,1095,26,1095
g48453001845,1275,1781,0,1781
g48453001844,1676,2017,90,2017
g48453002419,1742,2292,172,2292
g48453001823,1778,2948,146,2948
g48453001822,2075,3336,390,3336
g48453001821,1870,2798,105,2798
g48453001820,1953,3409,353,3409
g48453001819,1153,2300,195,2300
g48453001818,2176,3122,120,3122
g48453001817,1404,2235,159,2235
g48453001813,2263,3335,211,3335
g48453001812,1861,3801,361,3801
g48453001811,1028,1560,67,1560
g48453001806,1743,2844,169,2844
g48453001805,1387,2376,105,2376
g48453001804,2357,3314,123,3314
g48453001738,2852,3676,3,3676
g48453001750,2752,3424,42,3424
g48453002004,1190,1562,106,1562
g48453001841,6436,8467,52,8467
g48453001853,1540,1892,29,1892
g48453001753,877,930,22,930
g48453001719,1447,1886,0,1886
g48453001718,1954,2902,269,2902
g48453001713,1519,1999,64,1999
g48453001712,1401,1963,194,1963
g48453001707,2049,2647,25,2647
g48453001706,1811,2086,39,2086
g48453001705,1865,2286,0,2286
g48453001605,1816,2373,79,2373
g48453001604,1322,1730,17,1730
g48453001603,1945,2317,24,2317
g48453001602,1099,1811,322,1811
g48453001305,1819,2903,212,2903
g48453001304,1778,2517,57,2517
g48453001303,1048,1596,49,1596
g48453001200,1557,2533,211,2533
g48453001100,1409,2258,51,2258
g48453001000,935,1694,191,1694
g48453000902,1244,2140,180,2140
g48453001505,1757,2620,197,2620
g48453001504,1742,2543,240,2543
g48453001503,1398,2595,408,2595
g48453001501,1991,2766,36,2766
g48453000901,614,832,39,832
g48453000804,745,1103,34,1103
g48453000803,699,1164,77,1164
g48453000802,740,1153,237,1153
g48453000801,398,576,11,576
g48453000700,352,670,21,670
g48453000604,797,1920,99,1920
g48453000603,1415,2334,98,2334
g48453000601,648,1678,71,1678
g48453000500,1419,2746,186,2746
g48453000402,816,1453,201,1453
g48453000401,1207,2179,236,2179
g48453000302,2026,3148,566,3148
g48453000204,1091,1814,94,1814
g48453000203,471,734,130,734
g48453001754,1781,2357,99,2357
g48453000102,951,1178,17,1178
g48453000101,1492,1938,0,1938
g48453002407,1754,2363,14,2363
g48453001606,0,0,0,0
g48453002310,667,895,22,895
g48453980000,0,0,0,0
g48453001746,1881,2592,20,2592
g48453002202,2285,3362,127,3362
g48453002201,572,800,64,800
g48453002111,969,1589,177,1589
g48453001913,1510,1983,1,1983
g48453001910,1657,1929,58,1929
g48453001834,3772,4570,102,4570
g48453001908,2621,3644,18,3644
g48453001833,2580,3647,65,3647
g48453001840,3086,4129,87,4129
g48453001851,3938,5039,0,5039
g48453001824,786,1078,15,1078
g48453001749,2574,3341,25,3341
g48453001843,1300,1445,32,1445
g48453001729,2461,2980,24,2980
g48453001728,3028,3897,93,3897
g48453001745,972,1236,21,1236
g48453001766,2367,3180,0,3180
g48453002421,3482,4015,0,4015
g48453002423,2210,3115,63,3115
g48453002314,1647,2958,607,2958
g48453001748,2207,2723,18,2723
g48453001912,1318,1645,0,1645
g48453001752,1656,2547,351,2547
g48453001760,5330,6551,0,6551
g48453001742,2096,3102,32,3102
g48453001847,3316,4027,27,4027
g48453001848,1973,2566,15,2566
g48453001755,2216,2594,10,2594
g48453001756,1785,2079,38,2079
g48453001764,2039,2817,6,2817
g48453001737,4756,5794,17,5794
g48453001740,1995,2380,19,2380
g48453001765,5869,7298,23,7298
g48453001714,5218,6604,0,6604
g48453001403,644,863,17,863
g48453001733,1136,1565,21,1565
g48453001769,2059,2774,115,2774
g48453001768,1942,2683,0,2683
g48453001722,2348,3385,256,3385
g48453001761,2903,3504,10,3504
g48453001751,770,906,0,906
g48453001716,2231,2988,50,2988
g48453001842,2693,3449,32,3449
g48453001741,1182,1494,0,1494
g48453001850,2165,2847,135,2847
g48453001839,3211,3601,62,3601
g48453001401,1391,2044,151,2044
g48453002422,1928,2542,193,2542
g48453002413,1055,1669,7,1669
g48453002412,1647,2312,92,2312
g48491020603,2664,3368,0,3368
g48491021507,3518,4083,0,4083
g48491020804,2826,3541,0,3541
g48491020707,1844,2448,14,2448
g48491020505,1119,1341,19,1341
g48491020408,1841,2326,0,2326
g48491020411,2943,3533,27,3533
g48491020409,2029,2454,39,2454
g48491020506,3370,4175,0,4175
g48491020507,1279,1387,0,1387
g48491020317,1117,1382,0,1382
g48491020508,2363,2920,40,2920
g48491020311,1395,1668,90,1668
g48491020318,3552,4227,14,4227
g48491020326,2308,2884,58,2884
g48491020324,2064,2489,0,2489
g48491020328,2444,3265,100,3265
g48491020319,2071,2499,48,2499
g48491020321,599,761,44,761
g48491020325,1453,1708,0,1708
g48491020320,2976,3819,13,3819
g48491020314,1949,2699,0,2699
g48491020110,1579,2066,0,2066
g48491020604,2200,2667,0,2667
g48491020109,845,1125,0,1125
g48491021601,1017,1287,0,1287
g48491020803,1403,1801,0,1801
g48491020805,2742,3213,11,3213
g48491020202,1604,2129,0,2129
g48491020204,1552,2393,0,2393
g48491020112,1082,1447,0,1447
g48491021602,1285,1580,0,1580
g48491021603,674,785,0,785
g48491020106,1021,1372,0,1372
g48491020114,1690,2001,0,2001
g48491020108,1220,1438,0,1438
g48491020406,3119,4038,102,4038
g48491020405,2501,3184,84,3184
g48491020504,4018,4632,20,4632
g48491020701,861,1154,0,1154
g48491020602,2023,2669,0,2669
g48491020704,2461,2975,0,2975
g48491021502,1753,2445,0,2445
g48491021503,1581,2176,0,2176
g48491020403,745,894,0,894
g48491021203,853,1184,12,1184
g48491020503,2099,2524,0,2524
g48491020302,1053,1261,46,1261
g48491021000,774,1090,0,1090
g48491021401,3583,4385,0,4385
g48491021201,1207,1368,0,1368
g48491021100,662,1001,0,1001
g48491020404,1673,2037,43,2037
g48491021202,1312,1529,0,1529
g48491020703,4131,5113,0,5113
g48491021403,1253,1733,0,1733
g48491020310,969,1137,11,1137
g48491020900,1508,1962,5,1962
g48491021300,1182,1519,0,1519
g48491021402,1136,1608,0,1608
g48491020301,1856,2465,0,2465
g48491020113,1155,1376,0,1376
g48491020509,2931,3481,107,3481
g48491020605,2463,3270,13,3270
g48491020312,2286,3132,31,3132
g48491020410,2667,3240,41,3240
g48491020316,1118,1577,0,1577
g48491020323,1136,1285,24,1285
g48491020327,1010,1331,0,1331
g48491020322,3867,4644,28,4644
g48491020313,3631,4235,0,4235
g48491020315,1163,1566,0,1566
g48491020510,3839,4454,10,4454
g48491020708,2109,3136,0,3136
g48491020706,1717,1890,0,1890
g48491021505,3102,4025,0,4025
g48491020807,2816,3194,14,3194
g48491020809,2177,2791,0,2791
g48491020115,766,907,0,907
g48491020111,915,1009,0,1009
g48491020105,672,838,0,838
g48491020203,175,225,0,225
g48491020201,480,716,0,716
g48491020107,331,551,0,551
g48491021508,2562,3074,0,3074
g48491020808,644,672,0,672
g48491021506,959,1171,0,1171
g48491020806,751,935,0,935
g48491021504,1854,2122,0,2122
g48021950501,2340,3005,0,3005
g48021950801,1579,2157,0,2157
g48021950802,2421,3036,0,3036
g48021950502,1974,2725,21,2725
g48021950700,1365,1728,0,1728
g48021950600,1473,1733,0,1733
g48021950200,2868,4100,41,4100
g48021950100,3431,4341,0,4341
g48021950300,4455,5551,45,5551
g48021950400,3019,4023,0,4023
g48055960102,1377,1712,0,1712
g48055960101,1642,2136,0,2136
g48055960500,2023,2731,0,2731
g48055960700,1650,2414,69,2414
g48055960600,754,1020,0,1020
g48055960400,1208,1651,1,1651
g48055960300,1232,1677,8,1677
g48055960200,1193,1678,0,1678
